D_(px),R_(m),t_(s),view,5/2*log10_R,log10_t
222,90.35657346314456,0.034000000000000696,VGQ8+Q9,4.8898993826940576,-1.468521082957736
286,116.40531536242948,0.06700000000000017,VGQ8+Q9,5.164932029390069,-1.1739251972991724
326,132.68577904948253,0.09999999999999964,VGQ8+Q9,5.307060946737309,-1.0000000000000016
368,149.78026592088827,0.13400000000000034,VGQ8+Q9,5.438636493251256,-0.8728952016351913
403,164.0256716470597,0.16699999999999982,VGQ8+Q9,5.5372795619202355,-0.7772835288524172
160,77.82694281249373,0.03299999999998704,VGVF+JP,4.7278249272159325,-1.481486060122283
235,114.30832225585016,0.06700000000000728,VGVF+JP,5.145194626255462,-1.1739251972991265
280,136.19714992186402,0.09999999999999432,VGVF+JP,5.335420048931669,-1.0000000000000246
300,145.92551777342572,0.13299999999998136,VGVF+JP,5.410328107375277,-0.876148359032975
335,162.95016151365874,0.1670000000000016,VGVF+JP,5.530136988168234,-0.7772835288524126
360,175.11062132811088,0.19999999999998863,VGVF+JP,5.608281222494339,-0.6989700043360435
370,179.97480525389173,0.2330000000000041,VGVF+JP,5.638029280743608,-0.6326440789739733
150,67.3913043478261,0.017000000000000348,VGWC+H6,4.571509655381746,-1.7695510786217172
197,88.5072463768116,0.03500000000000014,VGWC+H6,4.867447073146526,-1.4559319556497226
224,100.6376811594203,0.05200000000000049,VGWC+H6,5.006901553577951,-1.2839966563651968
263,118.15942028985508,0.07000000000000028,VGWC+H6,5.181170878966938,-1.1549019599857413
272,122.20289855072464,0.08700000000000063,VGWC+H6,5.2177037678280405,-1.0604807473813782
294,132.08695652173913,0.10500000000000043,VGWC+H6,5.302149833772937,-0.9788107009300602
315,141.52173913043478,0.12199999999999989,VGWC+H6,5.377057892216545,-0.9136401693252522
332,149.15942028985506,0.13900000000000023,VGWC+H6,5.434126717002634,-0.8569851997459041
342,153.65217391304347,0.15700000000000003,VGWC+H6,5.466346772882881,-0.8041003475907662
350,157.2463768115942,0.17400000000000038,VGWC+H6,5.491451618618233,-0.7594507517173993
226,75.78612370686524,0.03300000000000125,VGWC+FV,4.698974236071726,-1.481486060122096
352,118.03856435759542,0.06599999999999895,VGWC+FV,5.180059796898552,-1.1804560644581383
403,135.14074271622428,0.10000000000000142,VGWC+FV,5.3269657535559976,-0.9999999999999938
445,149.22488959980103,0.13299999999999912,VGWC+FV,5.4346031656555525,-0.8761483590329171
